Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Year,pro_bowl
Cris Carter,122,1256,7,15,2,65,63,51.6,4,1994,1
Jerry Rice,112,1499,13,21,3,69,77,68.8,1,1994,1
Terance Mathis,111,1342,11,14,4,81,67,60.4,0,1994,1
Ben Coates,96,1174,7,15,1,62,65,67.7,2,1994,0
Sterling Sharpe,94,1119,18,14,2,49,63,67.0,1,1994,1
Andre Reed,90,1303,8,15,3,83,64,71.1,2,1994,1
Tim Brown,89,1309,9,17,4,77,68,76.4,1,1994,1
Shannon Sharpe,87,1010,4,14,2,44,51,58.6,1,1994,0
Jake Reed,85,1175,4,13,3,59,59,69.4,3,1994,0
Quinn Early,82,894,4,10,0,33,46,56.1,0,1994,0
Brian Blades,81,1086,4,16,2,45,61,75.3,0,1994,0
Andre Rison,81,1088,8,18,2,69,57,70.4,1,1994,0
Michael Irvin,79,1241,6,16,3,65,65,82.3,0,1994,1
Fred Barnett,78,1127,5,14,6,54,48,61.5,1,1994,0
Edgar Bennett,78,546,4,2,1,40,28,35.9,0,1994,0
Rob Moore,78,1010,6,13,1,41,53,68.0,0,1994,1
Larry Centers,77,647,2,5,0,36,37,48.0,0,1994,0
Michael Haynes,77,985,5,12,3,78,46,59.7,1,1994,0
Glyn Milburn,77,549,3,4,0,33,29,37.7,0,1994,0
Henry Ellard,74,1397,6,30,3,73,71,96.0,0,1994,0
Michael Timpson,74,941,3,15,0,37,52,70.3,0,1994,0
Irving Fryar,73,1270,7,20,6,54,56,76.7,0,1994,1
Herman Moore,72,1173,11,19,3,51,56,77.8,1,1994,1
Carl Pickens,71,1127,11,15,7,70,53,74.6,1,1994,0
Herman Moore,123,1686,14,20,6,69,90,73.2,2,1995,1
Cris Carter,122,1371,17,17,2,60,80,65.6,0,1995,1
Jerry Rice,122,1848,15,25,10,81,75,61.5,3,1995,1
Isaac Bruce,119,1781,13,28,4,72,82,68.9,2,1995,0
Michael Irvin,111,1603,10,23,6,50,88,79.3,1,1995,1
Brett Perriman,108,1488,9,20,3,91,74,68.5,1,1995,0
Eric Metcalf,104,1189,8,17,5,62,53,51.0,0,1995,0
Robert Brooks,102,1497,13,17,5,99,70,68.6,0,1995,0
Larry Centers,101,962,2,11,0,32,45,44.6,1,1995,0
Carl Pickens,99,1234,17,13,5,68,65,65.7,1,1995,1
Tony Martin,90,1224,6,16,2,51,60,66.7,3,1995,0
Tim Brown,89,1342,10,18,4,80,66,74.2,0,1995,1
Derek Loville,87,662,3,2,0,31,36,41.4,0,1995,0
Yancey Thigpen,85,1307,5,21,2,43,64,75.3,1,1995,1
Ben Coates,84,915,6,6,0,35,51,60.7,4,1995,0
Jeff Graham,82,1301,4,21,6,51,67,81.7,1,1995,0
Quinn Early,81,1087,8,14,4,70,54,66.7,1,1995,0
