Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,pro_bowl
Emmitt Smith,1484,368,21,7,1,46,101,27.4,1,1994,1
Natrone Means,1350,343,12,4,0,25,79,23.0,5,1994,1
Chris Warren,1545,333,9,13,1,41,71,21.3,5,1994,1
Barry Sanders,1883,331,7,18,7,85,72,21.8,0,1994,1
Rodney Hampton,1075,327,6,2,0,27,58,17.7,0,1994,0
Jerome Bettis,1025,319,3,0,0,19,53,16.6,5,1994,1
Marshall Faulk,1282,314,11,12,2,52,58,18.5,5,1994,1
Thurman Thomas,1093,287,7,4,0,29,62,21.6,1,1994,0
Errict Rhett,1011,284,7,4,0,27,70,24.6,2,1994,0
Harvey Williams,983,282,4,1,0,28,45,16.0,3,1994,0
Lewis Tillman,899,275,7,1,0,25,46,16.7,1,1994,0
Terry Allen,1031,255,8,5,2,45,56,22.0,3,1994,0
Marion Butts,703,243,8,1,0,26,38,15.6,1,1994,0
Johnny Johnson,931,240,3,2,1,90,47,19.6,4,1994,0
Ricky Watters,877,239,6,2,0,23,47,19.7,8,1994,1
Ronald Moore,780,232,4,3,0,24,39,16.8,2,1994,0
Barry Foster,851,216,5,4,0,29,46,21.3,0,1994,0
Bernie Parmalee,868,216,6,3,1,47,55,25.5,4,1994,0
Leroy Hoard,890,209,5,4,0,39,41,19.6,7,1994,0
Bam Morris,836,198,7,1,0,20,50,25.2,3,1994,0
Lorenzo White,757,191,3,3,0,33,37,19.4,2,1994,0
Leonard Russell,620,190,9,5,0,22,43,22.6,2,1994,0
Marcus Allen,709,189,7,2,0,36,47,24.9,3,1994,0
Ricky Ervins,650,185,3,2,1,49,29,15.7,1,1994,0
Craig Heyward,779,183,7,0,0,17,42,23.0,4,1994,0
Emmitt Smith,1773,377,25,10,3,60,107,28.4,7,1995,1
Curtis Martin,1487,368,14,11,1,49,80,21.7,5,1995,1
Terry Allen,1309,338,10,4,0,28,66,19.5,6,1995,0
Ricky Watters,1273,337,11,6,1,57,76,22.6,4,1995,1
Errict Rhett,1207,332,11,2,0,21,76,22.9,2,1995,0
Edgar Bennett,1067,316,3,2,0,23,47,14.9,1,1995,0
Barry Sanders,1500,314,11,16,6,75,70,22.3,2,1995,1
Chris Warren,1346,310,15,6,1,52,77,24.8,4,1995,1
Rodney Hampton,1182,306,10,3,0,32,74,24.2,5,1995,0
Rashaan Salaam,1074,296,10,2,1,42,59,19.9,9,1995,0
Marshall Faulk,1078,289,11,6,1,40,68,23.5,7,1995,1
Garrison Hearst,1070,284,1,6,0,38,52,18.3,12,1995,0
Thurman Thomas,1005,267,6,4,1,49,63,23.6,6,1995,0
Harvey Williams,1114,255,9,8,1,60,59,23.1,5,1995,0
